weight_d_FS,weight_l_FS,weight_theta,mean_error,rms_error,max_error
0.02,0.56,0.41999999999999993,0.09452104910973666,0.11394960898334933,0.3250449297451947
0.02,0.58,0.4,0.09617233587190248,0.11629374541604152,0.332168070774399
0.02,0.6,0.38,0.09784498869994428,0.1186590055732559,0.339701040187134
0.02,0.62,0.36,0.0995230829173504,0.12103686213828119,0.34779454845828484
0.02,0.64,0.33999999999999997,0.10118895648059514,0.1234197253636514,0.3557558020166035
0.02,0.66,0.31999999999999995,0.10282934988426791,0.12580357641356854,0.3629748520570353
0.02,0.68,0.29999999999999993,0.10444554348403888,0.12818577958018024,0.3702791384115234
0.02,0.7000000000000001,0.2799999999999999,0.1060183966084428,0.13053321384436575,0.37804343711054433
0.02,0.72,0.26,0.10753485440751964,0.13282143970156537,0.38572044575675957
0.02,0.74,0.24,0.10899074812928917,0.13504291904191848,0.3938877341150734
0.02,0.76,0.21999999999999997,0.110397293366003,0.13719080182564475,0.399833662064401
0.02,0.78,0.19999999999999996,0.1117778883275912,0.13925883114088758,0.4084833043151613
0.02,0.8,0.17999999999999994,0.11311069684331354,0.14124442132472417,0.4170467550351203
0.02,0.8200000000000001,0.15999999999999992,0.1143904966310374,0.1431537535274304,0.4263526549708485
0.02,0.84,0.14,0.11560972868735453,0.14497497266157272,0.43621816497897414
0.02,0.86,0.12,0.11675740393844634,0.14669810682827703,0.4459122767310371
0.02,0.88,0.09999999999999998,0.11781511597706791,0.14832466236409536,0.45568134095915225
0.02,0.9,0.07999999999999996,0.11880783291672266,0.14988862944723155,0.4655925663138409
0.02,0.92,0.05999999999999994,0.1197315825128616,0.1513812274616044,0.47535689578817225
0.02,0.9400000000000001,0.039999999999999925,0.12058321994300618,0.1527965822260055,0.48516687751969384
0.02,0.96,0.020000000000000018,0.12135965965297903,0.15413002629174524,0.49501890496843626
0.02,0.98,0.0,0.12204984953122389,0.15536382176000932,0.5044078363297948
0.04,0.0,0.96,0.09292487343578762,0.11204242608216167,0.30132374036342346
0.04,0.02,0.94,0.09244406816950751,0.11136581772121376,0.2996940631574486
0.04,0.04,0.9199999999999999,0.09195529474581621,0.11069049088744297,0.29803937941655645
0.04,0.06,0.8999999999999999,0.09145594099957917,0.11001518843878917,0.2963591378062935
0.04,0.08,0.88,0.09094699887051944,0.1093404086556706,0.29465277223549247
0.04,0.1,0.86,0.09042564602458654,0.10866607539581069,0.2929197014738243
0.04,0.12,0.84,0.08989519585387913,0.1080014230015937,0.2911593287686395
0.04,0.14,0.82,0.08935941550078777,0.10735601082727152,0.28937104146278714
0.04,0.16,0.7999999999999999,0.08883620562086535,0.10672766791820826,0.28755421061540565
0.04,0.18,0.78,0.08838531569239336,0.10612234477392639,0.28570819062802344
0.04,0.2,0.76,0.08797402929454289,0.10553436085690325,0.2837794398786775
0.04,0.22,0.74,0.0875806743797274,0.10494290900935366,0.2817918148763292
0.04,0.24,0.72,0.08716656471028128,0.10434284262114701,0.2797707747850686
0.04,0.26,0.7,0.08671818994074353,0.10373822657168308,0.2777155145066339
0.04,0.28,0.6799999999999999,0.0862346301259111,0.10313006742252613,0.27562520567700277
0.04,0.3,0.6599999999999999,0.0857196880791573,0.10252353070310379,0.27354617928054714
0.04,0.32,0.6399999999999999,0.08519980253688221,0.10193504153794776,0.27166055490706786
0.04,0.34,0.6199999999999999,0.08472003625975093,0.101374022125663,0.26974251897382107
0.04,0.36,0.6,0.08430224735206436,0.10085444262856144,0.2714062536470322
0.04,0.38,0.58,0.08395043668509829,0.10039410606862215,0.2728040930124881
0.04,0.4,0.5599999999999999,0.08372437109395697,0.10007699659403106,0.2724802036737288
0.04,0.42,0.54,0.08383721141215711,0.10002800197625676,0.27214125446139703
0.04,0.44,0.52,0.08428894094223773,0.1005869773781132,0.27743524770777106
0.04,0.46,0.49999999999999994,0.08537589327694177,0.10200819043846425,0.2855759461804611
0.04,0.48,0.48,0.08692338175663553,0.1039378282386614,0.2938887010229604
0.04,0.5,0.45999999999999996,0.08854094542258645,0.10606038758704256,0.30217100786868545
0.04,0.52,0.43999999999999995,0.09015247398635437,0.1082786420291358,0.30964297260237805
0.04,0.54,0.41999999999999993,0.09176448606119023,0.11055608464209306,0.3165562474404884
0.04,0.56,0.3999999999999999,0.09339182528820951,0.11287033119575217,0.3235447075458143
0.04,0.58,0.38,0.09504460334825614,0.1152091033327705,0.3309301257774009
0.04,0.6,0.36,0.09670468881007528,0.117563223542355,0.3382883845578686
0.04,0.62,0.33999999999999997,0.098364605376165,0.11992501280652228,0.34615537313253175
0.04,0.64,0.31999999999999995,0.10000207619865843,0.12229195267127707,0.35432913287662715
0.04,0.66,0.29999999999999993,0.1016159920866091,0.12466043833045663,0.36161808339006474
0.04,0.68,0.2799999999999999,0.10319951424480385,0.12701670167652082,0.36887322137143475
0.04,0.7000000000000001,0.2599999999999999,0.10473005757279714,0.12932146578463707,0.3766527798223638
0.04,0.72,0.24,0.10619997007566247,0.1315578602734054,0.384303581008669
0.04,0.74,0.21999999999999997,0.10761473165067241,0.13372416632202694,0.3922807649075192
0.04,0.76,0.19999999999999996,0.10900203443743592,0.1358131440090316,0.3986126766709315
0.04,0.78,0.17999999999999994,0.11034782588576354,0.1378162874084368,0.40712228581885596
0.04,0.8,0.15999999999999992,0.11163750037437058,0.13974111028216243,0.41581629412850607
0.04,0.8200000000000001,0.1399999999999999,0.1128686602615436,0.1415807987960525,0.42496263436889353
0.04,0.84,0.12,0.11403432498157494,0.14332672218586215,0.4347936255049806
0.04,0.86,0.09999999999999998,0.11511701640900494,0.14497396793393239,0.4444484829182935
0.04,0.88,0.07999999999999996,0.11612421378709128,0.14654481708136924,0.45427845575348363
0.04,0.9,0.05999999999999994,0.11706600439022558,0.14805062664686952,0.464170084142488
0.04,0.92,0.039999999999999925,0.1179373856934121,0.14947998000029947,0.4739928811995614
0.04,0.9400000000000001,0.019999999999999907,0.11873442865296235,0.15082883608998887,0.48382679514753946
0.04,0.96,0.0,0.1194531920837512,0.1520900804278897,0.49369777327970144
0.06,0.0,0.94,0.09131402781904126,0.11019780589434211,0.29628634420628486
0.06,0.02,0.9199999999999999,0.09081378774322817,0.10949352344877564,0.2946171064615677
0.06,0.04,0.8999999999999999,0.09030627805809789,0.10879293694961768,0.2929222661313635
0.06,0.06,0.8799999999999999,0.08978660228945777,0.10809020422613295,0.2912012596938278
0.06,0.08,0.86,0.08925785291804958,0.10738901249669429,0.2894535086249277
0.06,0.1,0.84,0.0887158305622069,0.10668963021479393,0.2876784190177971
0.06,0.12,0.82,0.08816660219535069,0.10600545468834438,0.28587538120255374
0.06,0.14,0.7999999999999999,0.08760734457167622,0.10533660959118647,0.28404376936844844
0.06,0.16,0.7799999999999999,0.08707859058279337,0.10468985570723201,0.2821829411905473
0.06,0.18,0.76,0.08661927347661047,0.10406453021232388,0.28029223746352383
0.06,0.2,0.74,0.08619436434354318,0.10345586895180059,0.2782956933862746
0.06,0.22,0.72,0.08578121248662653,0.10283821626855587,0.2762610807875433
0.06,0.24,0.7,0.0853424472715332,0.10221683159012225,0.27419228443789856
0.06,0.26,0.6799999999999999,0.08486381375391037,0.10158714462575018,0.2722361846758863
0.06,0.28,0.6599999999999999,0.08435490153960863,0.10095828808519741,0.270369700887117
0.06,0.3,0.6399999999999999,0.08381563399625018,0.10033539624015764,0.26847158801420146
0.06,0.32,0.6199999999999999,0.08328837621884583,0.09973738884704764,0.2665410954192089
0.06,0.34,0.5999999999999999,0.08281246681876658,0.09917315432101864,0.26875739838555157
0.06,0.36,0.58,0.08240333237620791,0.09865755628683917,0.2707542631019335
0.06,0.38,0.5599999999999999,0.08206969346096536,0.09822038544126929,0.2712661748667523
0.06,0.4,0.5399999999999999,0.0819502255397234,0.0979748910289189,0.2709303105109625
0.06,0.42,0.52,0.08220367161161228,0.0981161779584272,0.27057905387017633
0.06,0.44,0.49999999999999994,0.08287522206415479,0.09906225145850961,0.2757463080054793
0.06,0.46,0.4799999999999999,0.08422916375004558,0.10075350964939318,0.2837840323327475
0.06,0.48,0.45999999999999996,0.08582469807240041,0.10278191895488455,0.2921056740186623
0.06,0.5,0.43999999999999995,0.08742770895908746,0.10494550056476179,0.3004420090509272
0.06,0.52,0.41999999999999993,0.08902335727847006,0.1071831723750631,0.30826109623067055
0.06,0.54,0.3999999999999999,0.09063194963683328,0.10946599647215163,0.3150871825657885
0.06,0.56,0.3799999999999999,0.09225981892957288,0.111777437620258,0.3223248633471245
0.06,0.58,0.36,0.09390389031313785,0.11410712920596687,0.32942281013242414
0.06,0.6,0.33999999999999997,0.09555608180029933,0.11645057767557958,0.3367372133378983
0.06,0.62,0.31999999999999995,0.0971918725919397,0.118801625172842,0.3444950633997993
0.06,0.64,0.29999999999999993,0.09880379389180691,0.12115554311375475,0.35290243159927814
0.06,0.66,0.2799999999999999,0.1003898797147234,0.12350686889839926,0.3602412266904813
0.06,0.68,0.2599999999999999,0.10193422134466368,0.12582432689414186,0.36744744766222226
0.06,0.7000000000000001,0.23999999999999988,0.10341870342839703,0.12807896910847522,0.37527691133127505
0.06,0.72,0.21999999999999997,0.10484414235887093,0.13026334841612225,0.382935205377128
0.06,0.74,0.19999999999999996,0.1062383534621731,0.1323728901384036,0.39084879892094926
0.06,0.76,0.17999999999999994,0.1075991714371126,0.13439951108089726,0.3975337554485625
0.06,0.78,0.15999999999999992,0.108898645542088,0.13633716517279057,0.4058594411337869
0.06,0.8,0.1399999999999999,0.11014161793333165,0.13819497956819818,0.4144836768390411
0.06,0.8200000000000001,0.11999999999999988,0.11132242851575021,0.13996556993777742,0.4235562373884364
0.06,0.84,0.09999999999999998,0.11243516973747343,0.141642875477433,0.4333071396419638
0.06,0.86,0.07999999999999996,0.11345894580107269,0.14322310720273632,0.44300224714189773
0.06,0.88,0.05999999999999994,0.11441867682116587,0.144740458880731,0.4528477534128778
0.06,0.9,0.039999999999999925,0.11530978079975411,0.1461845144254033,0.4627178459191935
0.06,0.92,0.019999999999999907,0.11612742397480254,0.14754942105108587,0.47258492220385784
0.06,0.9400000000000001,0.0,0.11687062193450669,0.14883214594272529,0.48244018240879827
0.08,0.0,0.92,0.0896847433867834,0.1083288783503438,0.29124977695166365
0.08,0.02,0.9,0.08916644943212297,0.10759893415004375,0.2895410204320775
0.08,0.04,0.88,0.08863880539143563,0.10687031750837511,0.28780606762255345
0.08,0.06,0.8600000000000001,0.08809960705982096,0.10614086022361931,0.2860443429711892
0.08,0.08,0.8400000000000001,0.08754885189866089,0.10541218119201654,0.2842552556909157
0.08,0.1,0.8200000000000001,0.08698493658514257,0.10468873253763358,0.2824381993818118
0.08,0.12,0.8,0.08641621203800054,0.10398316847525531,0.2805925516551755
0.08,0.14,0.78,0.08583670094432296,0.1032938528260657,0.2787176737614204
0.08,0.16,0.76,0.08530203746606115,0.10262577991116324,0.27681291022422305
0.08,0.18,0.74,0.08483317084508908,0.10198127340160731,0.274860407019056
0.08,0.2,0.72,0.08439384580992047,0.10134866396777494,0.27281299742272724
0.08,0.22,0.7000000000000001,0.08396110721154539,0.10070854477125271,0.2709760626510139
0.08,0.24,0.68,0.08349392616958311,0.10006227011063891,0.26912866497086296
0.08,0.26,0.66,0.08299035515524553,0.09941252826732541,0.26725040391944477
0.08,0.28,0.64,0.08245383789335341,0.09876413358124031,0.2653405537902932
0.08,0.3,0.6200000000000001,0.08189435255990282,0.09812826290959507,0.2634264164117097
0.08,0.32,0.6000000000000001,0.08136625989962035,0.09752393320434291,0.2657051602556473
0.08,0.34,0.5800000000000001,0.08089861164744606,0.09695881811683178,0.2678953315372107
0.08,0.36,0.56,0.08050071677940651,0.09644986036768949,0.270063361495934
0.08,0.38,0.54,0.08020478572566041,0.09605606527106254,0.26973090242524256
0.08,0.4,0.52,0.08023989862184572,0.0959188244612331,0.26938315252526224
0.08,0.42,0.5,0.08062333256456652,0.09635785806429048,0.26901967755131084
0.08,0.44,0.48000000000000004,0.08162510964158437,0.09767741381504529,0.2740755839921083
0.08,0.46,0.46,0.08312339516822843,0.0995483542356154,0.2820542484505745
0.08,0.48,0.44000000000000006,0.08471352307489413,0.10164055149838713,0.29029792666607745
0.08,0.5,0.42000000000000004,0.08629965707776972,0.10383252918334515,0.2986892831839655
0.08,0.52,0.4,0.08788848082744778,0.1060802686763088,0.3066195484666576
0.08,0.54,0.38,0.08949362734593778,0.10836374200685138,0.31386138133671115
0.08,0.56,0.36,0.09112333970235932,0.11067168283295997,0.32074507727886425
0.08,0.58,0.3400000000000001,0.09276383074100582,0.11299745237668814,0.32785809642827624
0.08,0.6,0.32000000000000006,0.09439863073125256,0.11533289579482736,0.33519273059592103
0.08,0.62,0.30000000000000004,0.09600810906789309,0.11767114449805073,0.3428312905685479
0.08,0.64,0.28,0.09759226278993921,0.12000740426713895,0.3514385435713272
0.08,0.66,0.26,0.0991462120228219,0.1223325776563651,0.3588454179520836
0.08,0.68,0.24,0.10064617415224952,0.12460417580074043,0.3660707895547832
0.08,0.7000000000000001,0.21999999999999997,0.10208585843457958,0.1268081120788089,0.37376493553798795
0.08,0.72,0.20000000000000007,0.10348687149380546,0.12893701180297243,0.38158952135937385
0.08,0.74,0.18000000000000005,0.10485907472957771,0.1309849362921194,0.3895047124254819
0.08,0.76,0.16000000000000003,0.1061740110715518,0.13294333206655573,0.3964307735678628
0.08,0.78,0.14,0.10742959617096569,0.1348191102804779,0.4045459416875939
0.08,0.8,0.12,0.10862692157689566,0.13661509987159987,0.41315264075775693
0.08,0.8200000000000001,0.09999999999999998,0.10976213584851556,0.13832094078428459,0.4221282676138704
